raw_character_text,spoken_words
,
Lisa Simpson,I am not wearing this.
Alex,"Oh, come on, Lisa. It's totally you. Just, you know, add some accessories, lip gloss, and maybe drop five pounds..."
Lisa Simpson,"Aren't we a little young for makeup and... What do you mean, five pounds?"
JANEY,"Well, you wanna look nice for your date."
Lisa Simpson,Date?
Alex,Hel-lo? For the dance.
Lisa Simpson,You guys have dates?
Terri Mackleberry,Hel-lo?
Lisa Simpson,Stop saying hello!
Alex,"Okay, calm down, Lisa. D.M.Y."
Lisa Simpson,"What's ""D.M.Y.""?"
Alex,Don't Mess Yourself.
Lisa Simpson,Eww!
Alex,"Yeah, that's why we changed it to D.M.Y."
Allison,"Don't worry, Lisa. There's still plenty of time. You'll get a date."
Lisa Simpson,"I don't want a date! And I don't want to wear perfume and cocktail dresses! Am I the only one who just wants to play hopscotch, and bake cookies, and watch ""The McLaughlin Group?"""
Lisa Simpson,Hel-lo?
Lisa Simpson,Hello?
,
Homer Simpson,"Oh, I can't believe those goons muscled me out of my grease business. I've been muscled out of everything I've ever done, including my muscle-for-hire business."
Marge Simpson,My poor Homie. Couldn't you try some other far-out money-making scheme?
Homer Simpson,"Oh, what's the point?"
Marge Simpson,You could raise some emus...
Lisa Simpson,You're taking me! You got that?! And it's gonna be a magical evening!
Homer Simpson,"Emus? Really? Oh, that's pretty crazy... Nah... I'd only fail just like I fail at everything."
Bart Simpson,"Hey, Dad, I've been thinking. What if instead of giving up on grease, we go for one last big score?"
Homer Simpson,"Wait a minute. The boy's right! I can't quit now. Aww, you always know just what to say to cheer me up. Emu farm... You're priceless, Marge."
Marge Simpson,
,
Nelson Muntz,"The thing about huckleberries is, once you've had fresh, you'll never go back to canned."
Nelson Muntz,"Uh, uh, so anyway, I kicked the guy's ass."
Nelson Muntz,"Now, if the berries are too tart, I just dust them with confectioner's sugar."
Boys,Oh. / Good secret. / Yeah.
Lisa Simpson,"Hey, guys."
Wendell Borton,"Hi, Lisa."
Nelson Muntz,Are you all right?
Lisa Simpson,No doubt! Can't a girl fabulize herself before the big dance?
Nelson Muntz,Your earlobe's bleeding.
Lisa Simpson,"Oh. So, I guess major muffins like yourselves all have dates, huh?"
Wendell Borton,You'd better believe it.
Lisa Simpson,Really? All of you?
Database,"Ahh, we all have dates, Lisa."
Lewis Clark,Everyone does.
Ralph Wiggum,Even me.
Lisa Simpson,Unbelievable!
Lisa Simpson,Ahhhh!
,
Nurse,Another wedgie?
Milhouse Van Houten,Uh-huh.
Nurse,Hang on. I'll get my forceps.
Milhouse Van Houten,"Oh, hurry."
Lisa Simpson,"Milhouse! I've been lookin' all over for you! Listen, you've always had a crush on me, right? Well, this is your lucky day, 'cause you're gonna take me to the dance. Pretty great, huh? See ya."
Milhouse Van Houten,But I can't. I already asked somebody.
Lisa Simpson,So un-ask her.
Milhouse Van Houten,But that wouldn't be...
Lisa Simpson,"Ah. What am I doing? This isn't me. I'm sorry, Milhouse."
Milhouse Van Houten,I'm free next weekend! There's plenty of Milhouse to go around.
,
Homer Simpson,"All right, son, we're about to embark on our most difficult mission. Let's bow our heads in prayer."
Homer Simpson,"Dear Lord, I know you're busy, seeing as how you can watch women changing clothes and all that. But if you help us steal this grease tonight, I promise we'll donate half the profits to charity."
Bart Simpson,"Dad, he's not stupid."
Homer Simpson,"All right, screw it. Let's roll."
Homer Simpson,Mmm... I knew I should have attached those somehow.
Lisa Simpson,Lucky parameciums.
Lisa Simpson,You don't have to worry about finding dates or dancing.
Lisa Simpson,
Marge Simpson,Lisa...
Marge Simpson,"I made you some homemade Pepsi for the dance. It's a little thick, but the price is right."
Lisa Simpson,"Thanks, Mom. But I told you, I'm not going."
Marge Simpson,"Ohh, so you don't have a date. You can still go and have a wonderful time."
Lisa Simpson,You don't understand. I don't belong there. The other girls are already into fashion and make-up and dating. They make me feel like a little baby.
Marge Simpson,"Oh, honey. A baby couldn't have organized a big school dance. Unless it was especially skilled. Or one of those super-babies from Brazil."
Lisa Simpson,"Forget it, Mom. I'm not going."
Marge Simpson,"But they're counting on you to take tickets. And if you sit there with a brave little smile and a festive bow, why, you could be the belle of the ball."
Lisa Simpson,"Mom, you can't possibly believe that."
Marge Simpson,"I have to, honey. Or... you can stay here and we'll have our own dance. ""Every Simpson dance now! Bomp bomp bomp bomp bomp bomp!"""
Lisa Simpson,I'll go.
,
Homer Simpson,"This better work, boy. I don't wanna wind up workin' on your mother's emu farm."
Bart Simpson,Don't worry. This is the score we've been dreamin' about. The grease traps in this kitchen have never been emptied.
Homer Simpson,"Okay, turn on the suction."
Homer Simpson,It's not working.
Homer Simpson,
Bart Simpson,
Homer Simpson,What is it?
Bart Simpson,"Uh, nothing."
,
Lisa Simpson,Enjoy the dance.
Milhouse Van Houten,"Wow, Lisa. I really admire your guts. You came here all by yourself, at the risk of being labeled a dateless wonder."
Milhouse Van Houten,Ow!
Lisa Simpson,It slipped.
Lisa Simpson,"Ah, it's gonna be a long night."
Bart Simpson,Where's the hose?
Homer Simpson,Bringin' up the rear.
Bart Simpson,Are you as excited as I am?
Homer Simpson,"Oh, yeah."
Homer Simpson,"Well, here goes..."
Homer Simpson,And now we wait. So... is this your school?
Bart Simpson,"Well, it used to be."
Groundskeeper Willie,"Eek! -- I mean, ach! -- I mean, what are you doing here?"
Homer Simpson,"Uhhhh... we're, uh, new foreign exchange students from, uh... um... Scotland."
Groundskeeper Willie,Saints be praised! I'm from Scotland! Where do ye hail from?
Homer Simpson,Uhh... North... Kilt... town?
Groundskeeper Willie,No foolin'?! I'm from North Kilt-town! Do you know Angus MacCloud?
Homer Simpson,"Wait a minute, there's no Angus MacCloud in North Kilt-town. Why you're not from Scotland at all!"
Groundskeeper Willie,"Ah, don't be daft. I was born and rai-- Hey, what the--?"
Groundskeeper Willie,My retirement grease! Noooo!
Groundskeeper Willie,Ya thievin' grease bandits! I'll kill ya! Wait up!
,
Groundskeeper Willie,"Not so fast, boy-o. Well, if it was up to me, I'd let ya go. But the lads have a temper... and they've been drinkin' all day."
Homer Simpson,Ow! Stop pummeling me! It's really painful!
Groundskeeper Willie,"All right, fine, I'll strangle ya for a while."
Seymour Skinner,"Lisa, I have to run home. I need you to keep an eye on the dance."
Lisa Simpson,"Oh, I don't want to go in there with all the happy dancing couples."
Seymour Skinner,"Normally I wouldn't ask, but it's an emergency. Mother has a Junebug cornered in the basement and she needs me to finish it off. C'mon, chop chop."
Lisa Simpson,"All right, all right. D.M.Y."
Seymour Skinner,"I know what that means, young lady."
Lisa Simpson,Huh?
,
Alex,"Oh, Lisa, it's terrible! Okay, this dance has gone Titanic!"
Lisa Simpson,What happened?
Alex,"Well, the boys and girls are like, afraid of each other. They're acting like a bunch of..."
Lisa Simpson,Kids?
Alex,I know. What is up with that?
Lisa Simpson,"It's because they are kids. And so are we. C'mon, Alex, we've only got nine, maybe ten years tops where we can giggle in church, and chew with our mouths open, and go days without bathing. We'll never have that freedom again."
Alex,"Listen, you can giggle and stink all you want, but I have a credit card. So on you!"
,
Bart Simpson,Uh... guys? Guys? The hose.
Homer Simpson,"Bart, please. The groundskeeper and I are trying to settle this like adults."
Homer Simpson,
,
Martin Prince,"Look, it's snowing!"
Ralph Wiggum,"Wow, the snowflake tastes like fish sticks."
Milhouse Van Houten,It's like a hamburger milkshake!
Boys,
Nelson Muntz,Here comes a grease ball!
Luigi,"Hey, Luigi bringa you kids free pizza. Why you have to maka da fun, huh?"
Homer Simpson,That's my grease! It's mine! Give it here!
Alex,They're playing in grease? Yarrgh!
Lisa Simpson,"Oh, act your age."
Lisa Simpson,
Alex,
Alex,You are so dead.
Alex,"Ow, there was bacon in that!"
,
,
Bill,"Hey, Springfield, if you're driving, you may want to sit down."
Marty,Uh-oh! Because it's time for Bill and Marty's Five O'clock News Flush!
Deep Voice,"Ohhh, yeahhh."
Bill,Our topless story... President Clinton has launched a new website.
Marty,"Uh-oh. Wait, let me guess. W-W-W dot dot ?!"
Marty,
,
Homer Simpson,Website.
Marty,"O-kay, here's another news flush."
Deep Voice,"Ohhh, yeahhh."
Marty,Doctors say the life expectancy of the average man is now seventy-six point two years.
Homer Simpson,Seventy-six point two?! But I'm already thirty-eight point one! I've wasted half my life!
Deep Voice,"Ohhh, yeahhh."
,
Homer Simpson,Half my life gone! And I'm only guaranteed thirty-eight more years.
Homer Simpson,Marge! I've wasted half my life.
Emergency Operator,"Sir, do you need a tow truck?"
Homer Simpson,"What are you talking about, Marge? I don't need a..."
Homer Simpson,"Okay, send the truck."
,
Marge Simpson,"Oh, honey, don't eat that. Wouldn't you rather have your sugar bag?"
Homer Simpson,"No, I don't deserve sugar. I'm halfway to my grave, and I haven't accomplished anything. Oh, I am not looking forward to my funeral."
Cardinal Flanders,"No, Homer wasn't a great man, or even an adequate man -- and he certainly never accomplished anything. Uh-- President Lenny, you have anything to say?"
President Lenny,Nah.
Cardinal Flanders,"All right. Fair enough. Toss him in the hole, boys."
Heckle,There goes a real sack of crap.
Jeckle,"Indubitably, old chum."
Homer Simpson,"Marge, no matter what happens in the future, promise me you won't vote for Lenny."
Marge Simpson,"Okay, but you've accomplished a lot. You've made me very happy."
Homer Simpson,"Oh yeah, they'll put me on a stamp for that."
Homer Simpson,"I've wasted half my life, Marge. Do you know how many memories I have? Three! Standing in line for a movie, having a key made, and sitting here talking to you. Thirty-eight years and that's all I have to show for it."
Marge Simpson,You're thirty-nine.
Homer Simpson,
Homer Simpson,
Lisa Simpson,"Hi, Dad. How was work?"
Homer Simpson,Cold.
Lisa Simpson,"Come on, let's get you into your favorite shirt."
Lisa Simpson,Surprise!
Homer Simpson,Oh. I see you're having a party. I'll come back later.
Bart Simpson,You can't come back later because...
Lisa Simpson,"Homer Simpson, welcome to your life!"
Grampa Simpson,"Homer Simpson, welcome to your life!"
Marge Simpson,The kids and I want to show you all the great things you've done.
Homer Simpson,"Oh, all right. Maybe I can pinpoint where my life went wrong."
Bart Simpson,"Quiet, Dad, or we'll have to throw you outta here."
Grampa Simpson,The pictures... they're coming... alive!
Lisa Simpson,There you are in outer space. That's pretty impressive.
Homer Simpson,All we did was grow some space tomatoes and sabotage Mir.
Bart Simpson,Remember when you almost became heavyweight champ?
Homer Simpson,No.
Grampa Simpson,Finish him! Finish him!
Marge Simpson,"Well, there's certainly no greater accomplishment than fathering three beautiful children."
Homer Simpson,Hike.
Kids,
Homer Simpson,"Oh, I shoulda punted. Turn it off! Turn it off!"
Bart Simpson,"Hang on, Dad, this next part'll definitely make you feel better about yourself."
Car,"Hello, Homer, it's me, KITT from TV's ""Knight Rider."""
Homer Simpson,
Car,Your family has asked me to take time out from my busy schedule to invite you to a very speciallll...
Homer Simpson,"Stupid movies. Who invented these dumb things anyway? Was it you, Bart?"
Lisa Simpson,"It was Thomas Edison, Dad."
Bart Simpson,I thought he invented the light bulb.
Lisa Simpson,"That, too. He also invented the phonograph, the microphone, and the electric car."
Homer Simpson,"No one man can do all that. You're a liar, honey. A dirty, rotten liar."
Grampa Simpson,Finish her! Finish her!
Lisa Simpson,It's true. I read it on a place mat at a restaurant.
Homer Simpson,"Really? A restaurant? Well, now I don't know what to think."
,
Kids,Go! Go! Go! Go! Go! Go!
Bart Simpson,"Top of the world, ma!"
Homer Simpson,"Cut it out, boy!"
Bart Simpson,
Bart Simpson,Dad? What are you doin' here?
Homer Simpson,Reading about this Edison character. They won't let me in the big people library downtown. There was some unpleasantness. I can never go back.
Homer Simpson,"Ooh, look at all the inventions Edison came up with. The stock ticker, the storage battery, even wax paper. And look at him dance."
Homer Simpson,De de de de de.
Bart Simpson,"That's great, Dad."
Homer Simpson,"And these Hardy Boys books are great, too. This one is about smugglers."
Bart Simpson,They're all about smugglers.
Homer Simpson,"No, not this one. ""The Smugglers of Pirate Cove."" It's about pirates."
Librarian,"Excuse me, are you a student at this school?"
Homer Simpson,I think it's pretty obvious that I am.
Homer Simpson,Go school!
,
Lenny Leonard,So this broad stands up... in the ocean and this big wave knocks her bathing suit off.
Barflies,
Moe Szyslak,"Ooh. Yeah. And then what happened? Omit no detail, no matter how small or filthy."
Lenny Leonard,So anyway -- and this is the part you'll remember for the rest of your lives...
Marge Simpson,"That doesn't sound like me. Well, I suppose if this doesn't work out you can always go back to the plant."
Homer Simpson,Not the way I quit. Ooh-who.
Homer Simpson,"Yeah, yeah, yeah, yeah, great story, Lenny. But here's one that's even more spellbinding. Once upon a time there was a man named Thomas Edison. And he invented the dictating machine and the fluoroscope and the repeating telegraph..."
Homer Simpson,"... And he was a firm believer in Fletcherism, and he played the organ, and his favorite flower was the heliotrope -- oh, and his middle name was Alva. And he never, ever, ever wore pajamas. And..."
Moe Szyslak,"Okay, I think we've been polite long enough here. Lenny, what happened with the dame and the bathing suit?"
Lenny Leonard,"Huh? Oh... uh... oh, nuts. I forgot. All I can think of now is Edison. I can't even remember where I work."
Homer Simpson,"Well, I remember where Edison worked. It was Menlo Park. That's where he came up with the tasimeter, the ore separator and..."
Carl Carlson,"Uh, James Watt invented the steam engine."
Homer Simpson,That's boring. You're boring everybody. Quit boring everyone!
,
Homer Simpson,... And then he worked on a machine to communicate with the dead. Some kind of scary telephone I guess. Or maybe he planned to just stick his head under the ground and yell.
Marge Simpson,"All right, already! Everyone knows the man accomplished a lot. Maybe because he didn't spend every waking moment talking about Thomas Edison!"
Homer Simpson,"Ohh, that's where you're wrong, Marge. He was a shameless self-promoter."
Marge Simpson,"Well, you're not Thomas Edison."
Homer Simpson,"Marge, that's it! That's why I haven't done anything with my life! I need to be more like Thomas Edison!"
Marge Simpson,Whatever.
Homer Simpson,And I'm starting right now. No more lousy pajamas!
Homer Simpson,"From this day forward, I am an inventor!"
Passerby,Do us a favor. Invent yourself some underpants.
Homer Simpson,"Well, I quit my job just like you said to."
Marge Simpson,I didn't tell you to quit your job.
Homer Simpson,"Yes, you did. I remember your exact words. You said I should quit my job and become an inventor or you'd torch the house."
,
Edison's Ghost,"I'll get you, you fat lunatic!"
Homer Simpson,"At my age Edison had already invented 203 things. Ohh, I've got a lot of work to do to catch up to him."
Homer Simpson,Let's see now... inventions... inventions...
Marge Simpson,Something electrical might be good.
Homer Simpson,"What? Eh. Eh. Let me handle the creative end of this, Marge. You don't understand how the creative mind works like I do."
Marge Simpson,Oh?
Homer Simpson,"You look at this table and what do you see? Just a table. Now, a creative person, like me, looks at this table and sees all kinds of creative things -- but no tables."
Marge Simpson,"Homer, that's not a table, that's our dryer."
Homer Simpson,My files!
Homer Simpson,"Uh, this isn't working. I've got to try a different approach."
Homer Simpson,
Homer Simpson,
Lisa Simpson,"You've started smoking, Dad?"
Homer Simpson,Yes. Thomas Edison smoked several cigars a day.
Bart Simpson,"Yeah. He invented stuff, too."
Homer Simpson,Shutup.
Homer Simpson,
Homer Simpson,"As long as you're here annoying me, let's have a brainstorming session. Now, here's how it works: Lisa, you say one thing, then Bart, you say another. Just toss out things and I'll use my inventive mind to combine them into a brilliant original idea."
Lisa Simpson,Okay. Umm... automatic...
Bart Simpson,Butt.
Homer Simpson,Okay.
Lisa Simpson,Fluorescent...
Bart Simpson,Booger.
Homer Simpson,Uh-huh.
Homer Simpson,"A-- Wait a minute! These aren't exciting new products! You're not even trying. Okay, that's it. Both of you go to your rooms and spank yourselves."
Lisa Simpson,Lazy father...
Bart Simpson,Can't even spank his own kids...
Marge Simpson,Homer! You can't punish the children just because you can't come up with an idea.
Homer Simpson,I don't see why not. They're my kids. I own 'em.
Marge Simpson,
Homer Simpson,"Okay, we own 'em."
Marge Simpson,What happened? You didn't fall.
Marge Simpson,"Hm. I brought you a tuna sandwich. They say it's brain food. I guess because there's so much dolphin in it, and you know how smart they are."
Homer Simpson,"Ohhh, it's no use. I can't work like this, cut off from the scientific community."
Homer Simpson,You stay here and guard the sandwich.
,
Professor Jonathan Frink,"And these should give you the grounding you'll need in thermodynamics, hyper-mathematics, and of course microcalifragilistics."
Homer Simpson,"Look, I just want to know how to invent things. Tell me."
Professor Jonathan Frink,"Well, all you have to do is think of things that people need, but which don't exist yet."
Homer Simpson,You mean like an electric blanketmobile?
Professor Jonathan Frink,"Possibleh. Or you could take something that already exists and find a new use for it, like--"
Homer Simpson,Hamburger earmuffs!
Professor Jonathan Frink,"Uh, well, well... I suppose that... would... qualify, uh..."
Homer Simpson,"Thanks, sucker!"
Professor Jonathan Frink,"All right, just stay calm, Frinkie."
Professor Jonathan Frink,These babies'll be in the stores while he's still grappling with the pickle matrix.
,
Homer Simpson,"Okay, I have here the four greatest inventions in the history of mankind."
Homer Simpson,"First, my All-Purpose Electric Hammer. ""For all your pounding needs."""
Homer Simpson,Ow!
Homer Simpson,Probably needs to be more powerful.
Bart Simpson,I will buy ten of those right now.
Homer Simpson,"Now, here's my ""Everything's Okay"" Alarm."
Homer Simpson,This will sound every three seconds unless something isn't okay.
Marge Simpson,"Turn it off, Homer."
Homer Simpson,It can't be turned off.
Homer Simpson,"But it does break easily. Now this next one's for the ladies. How many times have you gals been late for a high-powered business meeting, only to realize you're not wearing makeup?"
Marge Simpson,That's every woman's nightmare.
Edison's Ghost,
Homer Simpson,"That's why I invented this revolutionary makeup gun. It's for the woman who only has four-fifths of a second to get ready. Close your eyes, Marge."
Homer Simpson,And now you're ready for a night on the town.
Marge Simpson,"Homer, you've got it set on ""Whore."""
Homer Simpson,"Eh. Oh. Okay, this time try to keep your nostrils closed."
Homer Simpson,"Oh, look what you did. Now I have to get my cold cream gun."
Lisa Simpson,"Dad, women won't like being shot in the face."
Homer Simpson,Women will like what I tell them to like. Now here's something for everyone.
Homer Simpson,"In the olden times, if you were watching TV and nature called, you'd have to get up and walk to the bathroom. It was the hardest thing in the world to do. But now, with the Lazy Man Reclining Toilet Chair, you can just lean back and let 'er rip."
Lisa Simpson,You expect people to go to the bathroom in their living rooms?
Homer Simpson,"Sure! Believe me, every man in America will want to have one."
Bart Simpson,Gangway! Gotta poop.
Marge Simpson,"No, Bart. Homer... all these inventions, they're..."
Homer Simpson,Yes?
Marge Simpson,They're not very...
Homer Simpson,Yes? Yes? Yes?
Marge Simpson,They're terrible.
Homer Simpson,What?
Marge Simpson,"I'm not saying you're a bad inventor. I'm just saying these particular inventions are awful, and no one in their right mind would buy them. Or accept them as gifts."
Homer Simpson,But this is the best I could do. I guess I'm no better at being Thomas Edison than I was at being Homer Simpson.
Marge Simpson,"Oh, dear. I hope I wasn't too rough on him."
Lisa Simpson,"Somebody had to tell him, Mom. In the long run, it's much kinder to--"
Bart Simpson,
Bart Simpson,Do you mind?
Homer Simpson,"All week, my life long dream was to be the next Thomas Edison, but now it's over. I guess I'll just give up my hopes and dreams and settle for being a decent husband and father."
Homer Simpson,
Lisa Simpson,Homer! / Dad! / Look out!
Homer Simpson,"Oh, that. I stuck a couple of extra legs on there 'cause I kept tipping over when I was trying to invent stuff."
Lisa Simpson,"They're on hinges. That's really ingenious, Dad."
Marge Simpson,It could save lives!
Homer Simpson,Really? You think it's a good idea?
Bart Simpson,"Oh yeah, safety sells. Especially to lame-o's."
Marge Simpson,I'd buy one.
Lisa Simpson,"Me, too!"
Homer Simpson,I did it! I'm gonna be rich!
Homer Simpson,"Look, Mr. Edison, I did it. I'm an inventor! And I owe it all to you."
Homer Simpson,"See? It's just a regular chair, but I attached a couple of extra legs to the back... kinda like the ones on the back of your..."
Homer Simpson,AWDAMMIT!
Bart Simpson,"Hey, Dad, heard you swearing. Mind if I join in? Crap. Boobs. Crap."
Homer Simpson,"I thought I had a great idea, but I must've seen it on this poster."
Bart Simpson,"If Edison thought of that chair, how come it's not on this chart?"
Homer Simpson,It's not? Maybe he never told anyone about it.
Homer Simpson,That chair might be the only one he made.
Bart Simpson,So?
Homer Simpson,"So, we've got to go to the Edison Museum and smash it! Then I'll be an inventor!"
Bart Simpson,But I thought you loved Edison.
Homer Simpson,"Aw, to hell with him!"
Bart Simpson,"Yeah! Hell, damn, fart!"
Homer Simpson,Taking-Bart-across-state-lines-Back-soon.
Homer Simpson,I borrowed your wallet!
Marge Simpson,"Oh, I just mopped that driveway."
,
Bart Simpson,"Man, I can't wait to smash that chair."
Homer Simpson,"Oh, son, you're young and headstrong, just like Thomas Edison, Jr. You know, he started a mushroom farm, and an auto parts company, and he sold his good name to a quack medicine company. Oh, and later, he raised turkeys. That was on his turkey farm."
Bart Simpson,
Edison's Ghost,"Stop, Homer!"
Edison's Ghost,"By smashing my chair, you're only hurting yourself!"
Edison's Ghost,
,
,
Bart Simpson,All right! The museum's still open.
Father,Why don't you like Edison that much?
,
Tour Guide,"Hey, folks, do you like riddles?"
Crowd,
Tour Guide,"O-Okay, then. How many geniuses does it take to invent a light bulb?"
Tour Guide,Just one. Thomas Edison.
Visitor,That's very good.
Female Visitor,And it's true too. It's funny and true.
Tour Guide,"Now, behind that door, is Edison's actual preserved brain..."
Crowd,
Tour Guide,"Ordinarily, folks, tour groups are not allowed to see it... And of course, today will be no exception."
Crowd,
Tour Guide,"Now, no tour would be complete without a visit to Edison's boyhood gift shop."
Crowd,"Ohh! / Well, now that I'd like to see. / Yes."
Homer Simpson,Now let's take care of business.
Homer Simpson,"Outta the way. This is one invention you're not getting credit for, you inspiration hog!"
Bart Simpson,"Your electric hammer, maestro?"
Homer Simpson,"Invent your way out of this, Edison."
Homer Simpson,"Look, son. Edison was just like me."
Bart Simpson,You mean the wild mood swings?
Homer Simpson,No! We both lived in another man's shadow. This old-timey nerd and I have suffered the same frustration and heartache.
Homer Simpson,"We're not rivals. We're just a couple of dreamers who set the bar a little too high. I can't destroy your work, my friend."
Bart Simpson,Can I?
Homer Simpson,"No, but we'll stop off at the da Vinci Museum on the way home..."
Bart Simpson,"Uh, I think that's in Italy, Dad."
Homer Simpson,"Oh. Well then, we'll take it out on Eli Whitney."
,
Homer Simpson,Yay! / All right! / Woo-hoo! /
Kent Brockman,"...Authorities say the phony Pope can be recognized by his high-top sneakers and incredibly foul mouth. In other news, Thomas Edison, the greatest inventor of all time...is apparently still inventing, despite the notable handicap of being dead."
Homer Simpson,That's my Tommy.
Kent Brockman,Two new Edison creations have just been discovered in his museum: A six-legged chair that won't tip over...
Kent Brockman,"And even more astounding, an electric hammer!"
Marge Simpson,That was your idea!
Kent Brockman,This brilliant innovation is expected to generate millions for Edison's already wealthy heirs.
Lisa Simpson,"Dad, those should be your millions."
Bart Simpson,"I gotta admit, Homer. You're taking this pretty well."
Homer Simpson,Let's just say I'm sitting in the right chair.
,
Homer Simpson,"Mail call! Gather 'round, everyone!"
Homer Simpson,"All right. One for ""resident""..."
Marge Simpson,That's me!
Homer Simpson,"Well, that's it."
Bart Simpson,One stinkin' letter? Why'd you make us gather 'round like that?
Homer Simpson,I needed my power fix.
Marge Simpson,"Hey, listen to this!"
Marge Simpson,Congratulations. Your child or children have been selected to appear in Who's Who Among American Elementary School Students.
Homer Simpson,
Marge Simpson,Please submit their names along with ninety-five dollars for each handsome volume you wish to order.
Marge Simpson,"Oh, I've never been so proud. You both deserve a big, big reward!"
Lisa Simpson,"Mom, they put every kid in America in that book, just so gullible parents will buy it. It's all a big scam."
Bart Simpson,Shut up.
Marge Simpson,Are you sure? I can usually smell a scam from two towns over.
Bart Simpson,"Yeah, Lis. She is a smart, sophisticated woman. Now let's hear more about that big, big reward."
Homer Simpson,"Yeah, quit stalling, Marge. We want our reward."
,
Marge Simpson,One reward coming up. Ta-da!
,
Homer Simpson,"Man, it feels good to get out of that car. Ooo, go-carts! C'mon everybody, let's go."
Homer Simpson,"Look at me, Bart! I'm driving!"
Bart Simpson,"We're all proud of you, Dad."
Lisa Simpson,"Move it, poky."
Marge Simpson,Slow and steady wins the race.
Marge Simpson,"Easy, easy. Stick with the plan."
Milhouse Van Houten,
Nelson Muntz,"Oh, are you all right, man?"
Milhouse Van Houten,Uh... I think so.
Nelson Muntz,How 'bout now?
Nelson Muntz,Haw haw.
Marge Simpson,"That was no accident! Shame on you, Nelson."
Nelson Muntz,"Cram it, ma'am."
Homer Simpson,Stand back and watch the pro.
Lisa Simpson,"Uh, shouldn't you put on a batting helmet?"
Homer Simpson,Nah. They mess up my hair.
Homer Simpson,Ooh. Ball one.
Homer Simpson,Ball two. This Bozo's gonna walk me.
Homer Simpson,Hey!
Homer Simpson,"You're going down, you--"
Homer Simpson,Oh! Oh! Why you-- Hey you-- You better-- I'm gonna-- If you k--
Lisa Simpson,"Hang in there, Dad! Just half a basket left!"
Bart Simpson,"Wow, you sure get a lot of balls for a quarter."
Lisa Simpson,Yes! A Maggie-oop!
Nelson Muntz,"Hey, that's cheating."
Bart Simpson,"Okay, what can I get for twelve, count 'em, twelve prize tickets?"
Squeaky-Voiced Teen,"Two thumbtacks and a mustache comb, or five rubber bands and an ice cube."
Nelson Muntz,What can I get for eight thousand tickets?
Squeaky-Voiced Teen,"A BB-gun, or an Easy Bake Oven."
Nelson Muntz,"Hmm, hot food is tempting... but I just can't say no to a weapon."
Bart Simpson,"Whoa, can I try that some time?"
Nelson Muntz,"Yeah, sure. Never hurts to have a second set of prints on a gun."
Bart Simpson,"Wow, thanks, Nelson! I'll come by your house later --"
Marge Simpson,"Oh, no you won't."
Marge Simpson,You stay away from Nelson Muntz.
Bart Simpson,"But, Mom --"
Marge Simpson,"Nelson's a troubled, lonely, sad little boy. He needs to be isolated from everyone."
Bart Simpson,"But, Mom --"
Marge Simpson,Yes?
Bart Simpson,That's all I got.
,
Lisa Simpson,So what prize did you end up getting?
Bart Simpson,Mustache comb. What'd you get?
Lisa Simpson,Fake mustache.
Lisa Simpson,Wanna comb it?
Bart Simpson,This sucks. It's time to punch outta this yawn factory. I'm going to Nelson's.
Lisa Simpson,But Mom said not to!
Bart Simpson,"She doesn't scare me. I do what I want, when I want. Oh God, inchworms!"
,
Bart Simpson,Won't you get in trouble if your Mom sees you doing that?
Nelson Muntz,"Nah, my Mom's got bigger problems. She doesn't give a crap what I do."
Bart Simpson,"Wow, you are so lucky."
Nelson Muntz,"C'mon, let's lock and load."
Nelson Muntz,"You're not going out without a scarf, are ya?"
Bart Simpson,"Eh, I don't need one."
Nelson Muntz,"Hmm, it's your health."
Nelson Muntz,Think I can hit that bottle?
Bart Simpson,"Yeah, probably."
Nelson Muntz,"Shows what you know. Hey, check this out."
Nelson Muntz,"That's my Dad's shootin' car. Just three more payments, and it's ours."
Bart Simpson,"Oh, cool. Can I get a shot now?"
Nelson Muntz,"Hang on. First, how 'bout I try and peg you in the stomach?"
Bart Simpson,"Mmm. No, thanks."
Nelson Muntz,Or what about you put on these nerd glasses and I shoot 'em off?
Bart Simpson,"No way. C'mon, quit hoggin' the gun."
Nelson Muntz,Bet you can't hit that bird from here.
Bart Simpson,Are you crazy? I don't wanna shoot a stupid bird.
Nelson Muntz,That's 'cuz you know you can't. You're not a superstud like me.
Bart Simpson,Am too.
Nelson Muntz,"Are not. You're an octo-wussy. Ohh, look at me. I'm Bart Simpson. I'm scared to use a gun. I want to marry Milhouse. I walk around like this. La la la la la la la..."
Bart Simpson,"Hey, quit it!"
Bart Simpson,Oh my God...
Nelson Muntz,"Whoa-oa, major shot! You even compensated for the crooked sight!"
Bart Simpson,Crooked sight?
Nelson Muntz,"You are one cold-blooded killer, dude!"
Bart Simpson,"But, but I wasn't... I didn't..."
Nelson Muntz,"Right through the neck! Doesn't get any sweeter than that, Simpson. Savor the moment."
,
Homer Simpson,I rolled up all the socks.
Homer Simpson,What's next?
Marge Simpson,"While I deal with this, why don't you start on that basket?"
Homer Simpson,All right.
Homer Simpson,I hate folding sheets.
Marge Simpson,That's your underwear.
Homer Simpson,"Well, whatever it is, it's a two-man job. Where's Bart?"
Marge Simpson,He's up in his room. Bart?
Homer Simpson,"It's okay, Marge. I'll get him. BA-ART!"
Lisa Simpson,What the heck's going on?
Marge Simpson,"We need Bart to help fold your father's underpants. Where is he, anyway?"
